,词语,情感分类,得分
8132,乔迁之喜,PA,5.0
8133,从宽,PA,0.0
8134,家弦户诵,PH,7.0
8135,可意,PB,5.0
8136,热爱,PB,7.0
8137,爱护,PB,5.0
8138,可爱,PH,5.0
8139,爱屋及乌,PB,0.0
8140,赏玩,PB,0.0
8141,沉醉,PB,0.0
8142,自豪,PA,5.0
8143,看上,PB,0.0
8144,欢心,PB,0.0
8145,相爱,PB,0.0
8146,歆羡,PB,0.0
8147,优点,PH,5.0
8148,心仪,PB,3.0
8149,青睐,PB,3.0
8150,可亲,PB,5.0
8151,入神,PF,0.0
8152,视如珍宝,PB,7.0
8153,耳鬓厮磨,PB,5.0
8154,如影随形,PB,7.0
8155,宝贝儿,PB,5.0
8156,千里送鹅毛,PB,3.0
8157,痛痒相关,PB,3.0
8158,人心所向,PB,5.0
8159,小姑娘的脸蛋－爱煞人,PB,5.0
8160,惺惺惜惺惺,PB,0.0
8161,哥儿们,PB,0.0
8162,慰唁,NB,0.0
8163,暖洋洋,PH,1.0
8164,罗曼蒂克,PB,3.0
8165,水乳交融,PA,0.0
8166,娇美,PH,3.0
8167,斑斓,PH,3.0
8168,碧蓝,PH,3.0
8169,推崇,PB,0.0
8170,景仰,PD,9.0
